type,operation,energy
cursorableLinkedList(ApacheCommonsCollections),add(ending-index;value),0.0,0.01,0.03,0.0
cursorableLinkedList(ApacheCommonsCollections),remove(ending-index),0.0,0.01,0.02,0.0
synchronizedLinkedHashSet,add(value),0.03,0.13,0.19,0.0
synchronizedLinkedHashSet,iterator,0.01,0.03,0.06,0.0
synchronizedLinkedHashSet,remove(key),0.01,0.03,0.05,0.0
synchronizedHashSet,add(value),0.0,0.02,0.03,0.0
synchronizedHashSet,iterator,0.01,0.02,0.04,0.0
synchronizedHashSet,remove(key),0.0,0.02,0.04,0.0
concurrentSkipListSet,add(value),0.0,0.04,0.06,0.0
concurrentSkipListSet,iterator,0.0,0.01,0.02,0.0
concurrentSkipListSet,remove(key),0.0,0.03,0.04,0.0
setFromConcurrentHashMap,add(value),0.0,0.01,0.01,0.0
setFromConcurrentHashMap,iterator,0.0,0.01,0.01,0.0
setFromConcurrentHashMap,remove(key),0.0,0.01,0.01,0.0
setFromConcurrentHashMapV8,add(value),0.0,0.03,0.04,0.0
setFromConcurrentHashMapV8,iterator,0.01,0.11,0.21,0.0
setFromConcurrentHashMapV8,remove(key),0.01,0.07,0.1,0.0
copyOnWriteArraySet,add(value),0.01,0.06,0.09,0.0
copyOnWriteArraySet,iterator,0.01,0.05,0.08,0.0
copyOnWriteArraySet,remove(key),0.04,0.18,0.26,0.0
synchronizedTreeSet,add(value),0.02,0.07,0.12,0.0
synchronizedTreeSet,iterator,0.0,0.02,0.04,0.0
synchronizedTreeSet,remove(key),0.01,0.04,0.07,0.0
synchronizedTreeSortedSet(Eclipse Collections),add(value),0.0,0.02,0.02,0.0
synchronizedTreeSortedSet(Eclipse Collections),iterator,0.01,0.03,0.05,0.0
synchronizedTreeSortedSet(Eclipse Collections),remove(key),0.03,0.11,0.19,0.0
synchronizedUnifiedSet(Eclipse Collections),add(value),0.01,0.02,0.03,0.0
synchronizedUnifiedSet(Eclipse Collections),iterator,0.01,0.04,0.06,0.0
synchronizedUnifiedSet(Eclipse Collections),remove(key),0.0,0.02,0.04,0.0
hashSet,add(value),0.0,0.0,0.01,0.0
hashSet,iterator,0.0,0.0,0.0,0.0
hashSet,remove(key),0.0,0.0,0.0,0.0
linkedHashSet,add(value),0.0,0.0,0.0,0.0
linkedHashSet,iterator,0.0,0.0,0.01,0.0
linkedHashSet,remove(key),0.0,0.01,0.02,0.0
treeSet,add(value),0.0,0.0,0.0,0.0
treeSet,iterator,0.0,0.0,0.01,0.0
treeSet,remove(key),0.0,0.01,0.02,0.0
unifiedSet(Eclipse Collections),add(value),0.0,0.0,0.01,0.0
unifiedSet(Eclipse Collections),iterator,0.0,0.0,0.0,0.0
unifiedSet(Eclipse Collections),remove(key),0.0,0.0,0.0,0.0
treeSortedSet(Eclipse Collections),add(value),0.0,0.01,0.01,0.0
treeSortedSet(Eclipse Collections),iterator,0.0,0.0,0.0,0.0
treeSortedSet(Eclipse Collections),remove(key),0.0,0.0,0.0,0.0
synchronizedLinkedHashMap,put(constant-key;value),0.01,0.04,0.06,0.0
concurrentHashMapV8,put(constant-key;value),0.01,0.04,0.06,0.0
concurrentHashMap,put(constant-key;value),0.02,0.08,0.13,0.0
hashtable,put(constant-key;value),0.01,0.05,0.09,0.0
synchronizedMap,put(constant-key;value),0.01,0.04,0.06,0.0
concurrentSkipListMap,put(constant-key;value),0.01,0.03,0.05,0.0
synchronizedTreeMap,put(constant-key;value),0.0,0.01,0.02,0.0
synchronizedWeakHashMap,put(constant-key;value),0.0,0.02,0.04,0.0
hashMap,put(constant-key;value),0.0,0.0,0.01,0.0
linkedHashMap,put(constant-key;value),0.0,0.0,0.01,0.0
treeMap,put(constant-key;value),0.0,0.0,0.0,0.0
weakHashMap,put(constant-key;value),0.0,0.0,0.0,0.0
